YYYY-MM-DD,HH:MM:SS,dist_cm,temp_c,hum_pct,pitch_deg,gas_ppm,ax_ms2,gx_dps,ay_ms2,bmp_t_c,bmp_p_hpa,bmp_alt_m
2026-07-22,00:00:23,136.82,26.16,70.80,69.88,28.04,-9.07,-1.22,-1.62,26.16,853.90,1420.12
2026-07-22,00:01:23,104.71,26.15,70.80,69.86,0.00,-9.07,-1.16,-1.60,26.15,853.91,1420.05
2026-07-22,00:02:23,124.66,26.14,70.80,69.83,30.94,-9.07,-1.22,-1.61,26.14,853.91,1420.10
2026-07-22,00:03:23,145.91,26.13,70.80,70.04,0.00,-9.08,-1.16,-1.58,26.13,853.87,1420.41
2026-07-22,00:04:23,114.41,26.12,70.90,69.94,31.83,-9.08,-1.10,-1.62,26.12,853.84,1420.70
2026-07-22,00:05:23,98.17,26.12,70.90,69.91,33.68,-9.08,-1.10,-1.60,26.12,853.85,1420.65
2026-07-22,00:06:23,102.23,26.11,71.00,69.71,0.00,-9.07,-1.10,-1.60,26.11,853.82,1420.88
2026-07-22,00:07:23,129.96,26.10,71.00,69.69,0.00,-9.09,-1.10,-1.63,26.10,853.81,1421.02
2026-07-22,00:08:23,120.97,26.09,71.00,70.04,34.94,-9.09,-1.16,-1.60,26.09,853.81,1421.01
2026-07-22,00:09:23,145.58,26.09,71.00,69.74,35.86,-9.06,-1.10,-1.59,26.09,853.81,1420.98
2026-07-22,00:10:23,134.24,26.08,71.00,69.95,33.65,-9.07,-1.22,-1.59,26.08,853.79,1421.23
2026-07-22,00:11:23,129.12,26.08,71.00,69.95,28.13,-9.07,-1.10,-1.61,26.08,853.78,1421.32
2026-07-22,00:12:23,106.54,26.07,71.00,69.92,0.00,-9.07,-1.16,-1.59,26.07,853.78,1421.28
2026-07-22,00:13:23,120.89,26.06,70.90,70.01,31.16,-9.07,-1.10,-1.61,26.06,853.77,1421.37
2026-07-22,00:14:23,122.87,26.05,70.90,69.75,33.45,-9.07,-1.10,-1.61,26.05,853.78,1421.32
2026-07-22,00:15:23,84.10,26.04,70.90,69.89,31.46,-9.07,-1.16,-1.60,26.04,853.77,1421.41
2026-07-22,00:16:23,145.78,26.04,70.90,69.69,0.00,-9.06,-1.10,-1.60,26.04,853.75,1421.63
2026-07-22,00:17:23,145.84,26.03,70.90,69.80,25.63,-9.07,-1.22,-1.61,26.03,853.76,1421.52
2026-07-22,00:18:23,134.12,26.01,70.90,69.95,0.00,-9.07,-1.10,-1.60,26.01,853.79,1421.15
2026-07-22,00:19:23,145.50,26.00,71.00,69.94,0.00,-9.05,-1.16,-1.59,26.00,853.80,1421.11
2026-07-22,00:20:23,145.86,25.99,71.10,69.96,28.95,-9.07,-1.16,-1.58,25.99,853.79,1421.21
2026-07-22,00:21:23,136.56,25.99,71.10,69.87,30.97,-9.05,-1.16,-1.61,25.99,853.77,1421.38
2026-07-22,00:22:23,145.77,25.97,71.10,69.99,31.10,-9.07,-1.10,-1.59,25.97,853.77,1421.36
2026-07-22,00:23:23,133.74,25.96,71.10,69.84,0.00,-9.06,-1.16,-1.61,25.96,853.76,1421.47
2026-07-22,00:24:23,135.02,25.96,71.10,70.02,29.50,-9.08,-1.16,-1.60,25.96,853.76,1421.51
2026-07-22,00:25:23,140.59,25.95,71.20,69.95,25.20,-9.09,-1.16,-1.60,25.95,853.76,1421.45
2026-07-22,00:26:23,145.53,25.94,71.20,69.99,24.62,-9.07,-1.16,-1.60,25.94,853.75,1421.57
2026-07-22,00:27:23,145.56,25.93,71.20,69.96,0.00,-9.09,-1.10,-1.59,25.93,853.74,1421.67
2026-07-22,00:28:23,96.25,25.92,71.20,69.85,26.85,-9.07,-1.04,-1.60,25.92,853.75,1421.58
2026-07-22,00:29:23,120.22,25.91,71.20,69.93,0.00,-9.09,-1.16,-1.61,25.91,853.78,1421.32
2026-07-22,00:30:23,108.41,25.91,71.20,69.83,29.72,-9.09,-1.28,-1.60,25.91,853.78,1421.30
2026-07-22,00:31:23,145.67,25.90,71.30,69.96,31.70,-9.06,-1.10,-1.59,25.90,853.78,1421.30
2026-07-22,00:32:23,137.83,25.89,71.30,69.98,31.12,-9.07,-1.16,-1.58,25.89,853.76,1421.49
2026-07-22,00:33:23,115.43,25.88,71.30,69.84,0.00,-9.07,-1.16,-1.61,25.88,853.75,1421.57
2026-07-22,00:34:23,145.65,25.87,71.30,69.92,0.00,-9.07,-1.16,-1.61,25.87,853.74,1421.68
2026-07-22,00:35:23,129.90,25.87,71.30,69.91,33.00,-9.07,-1.16,-1.59,25.87,853.76,1421.53
2026-07-22,00:36:23,111.24,25.86,71.30,69.94,0.00,-9.09,-1.10,-1.58,25.86,853.74,1421.65
2026-07-22,00:37:23,137.83,25.85,71.30,69.86,0.00,-9.09,-1.10,-1.61,25.85,853.75,1421.57
2026-07-22,00:38:23,136.62,25.85,71.30,69.84,0.00,-9.08,-1.04,-1.61,25.85,853.73,1421.79
2026-07-22,00:39:23,115.53,25.84,71.30,69.99,0.00,-9.06,-1.16,-1.60,25.84,853.72,1421.84
2026-07-22,00:40:23,99.09,25.84,71.30,69.96,33.16,-9.06,-1.16,-1.59,25.84,853.73,1421.79
2026-07-22,00:41:23,145.49,25.83,71.30,70.12,0.00,-9.07,-1.10,-1.61,25.83,853.72,1421.88
2026-07-22,00:42:23,131.02,25.83,71.30,69.92,32.79,-9.06,-1.10,-1.61,25.83,853.72,1421.83
2026-07-22,00:43:23,145.56,25.82,71.30,70.13,0.00,-9.07,-1.10,-1.59,25.82,853.70,1422.02
2026-07-22,00:44:23,120.49,25.81,71.30,69.87,0.00,-9.05,-1.10,-1.59,25.81,853.71,1421.96
2026-07-22,00:45:23,145.67,25.81,71.30,69.80,0.00,-9.07,-1.16,-1.60,25.81,853.70,1422.04
2026-07-22,00:46:23,145.74,25.80,71.40,69.99,0.00,-9.07,-1.10,-1.59,25.80,853.71,1422.01
2026-07-22,00:47:23,141.86,25.79,71.50,69.96,31.81,-9.07,-1.16,-1.60,25.79,853.70,1422.02
2026-07-22,00:48:23,130.96,25.80,71.40,69.92,0.00,-9.06,-1.22,-1.61,25.80,853.72,1421.87
2026-07-22,00:49:23,126.83,25.79,71.30,69.83,0.00,-9.07,-1.16,-1.59,25.79,853.71,1421.98
2026-07-22,00:50:23,129.79,25.79,71.30,69.91,27.59,-9.05,-1.22,-1.60,25.79,853.72,1421.84
2026-07-22,00:51:23,96.78,25.79,71.20,69.89,0.00,-9.07,-1.16,-1.59,25.79,853.72,1421.91
2026-07-22,00:52:23,108.03,25.79,71.20,69.86,0.00,-9.07,-1.16,-1.59,25.79,853.73,1421.74
2026-07-22,00:53:23,128.82,25.79,71.20,70.00,30.75,-9.07,-1.16,-1.59,25.79,853.74,1421.64
2026-07-22,00:54:23,125.01,25.79,71.10,69.84,0.00,-9.07,-1.10,-1.60,25.79,853.72,1421.88
2026-07-22,00:55:23,115.53,25.79,71.10,69.87,0.00,-9.07,-1.16,-1.62,25.79,853.70,1422.03
2026-07-22,00:56:23,95.60,25.78,71.00,69.91,0.00,-9.07,-1.10,-1.59,25.78,853.69,1422.12
2026-07-22,00:57:23,97.36,25.78,70.90,69.85,0.00,-9.06,-1.16,-1.60,25.78,853.69,1422.21
2026-07-22,00:58:23,127.90,25.77,70.90,69.93,0.00,-9.07,-1.16,-1.60,25.77,853.66,1422.44
2026-07-22,00:59:23,134.31,25.78,70.90,69.88,32.54,-9.07,-1.16,-1.59,25.78,853.67,1422.30
2026-07-22,01:00:23,131.21,25.78,70.80,69.86,0.00,-9.07,-1.16,-1.59,25.78,853.68,1422.24
2026-07-22,01:01:23,129.53,25.78,70.70,70.06,33.43,-9.08,-1.16,-1.59,25.78,853.68,1422.22
2026-07-22,01:02:23,131.52,25.78,70.50,70.10,34.82,-9.07,-1.10,-1.58,25.78,853.70,1422.11
2026-07-22,01:03:23,145.90,25.80,70.40,69.90,30.70,-9.06,-1.10,-1.60,25.80,853.72,1421.88
2026-07-22,01:04:23,104.59,25.81,70.10,69.99,0.00,-9.08,-1.16,-1.61,25.81,853.73,1421.80
2026-07-22,01:05:23,137.81,25.80,70.00,69.92,0.00,-9.07,-1.16,-1.60,25.80,853.72,1421.88
2026-07-22,01:06:23,145.92,25.78,70.00,70.01,28.17,-9.06,-1.10,-1.59,25.78,853.70,1422.09
2026-07-22,01:07:23,145.93,25.76,69.80,69.78,30.40,-9.08,-1.16,-1.61,25.76,853.69,1422.15
2026-07-22,01:08:23,145.49,25.75,69.90,69.85,27.88,-9.08,-1.10,-1.61,25.75,853.67,1422.30
2026-07-22,01:09:23,145.61,25.74,69.90,70.07,27.07,-9.07,-1.16,-1.59,25.74,853.67,1422.36
2026-07-22,01:10:23,125.89,25.72,70.10,69.88,0.00,-9.06,-1.10,-1.60,25.72,853.65,1422.50
2026-07-22,01:11:23,104.28,25.70,70.40,69.93,0.00,-9.08,-1.16,-1.59,25.70,853.64,1422.62
2026-07-22,01:12:23,112.43,25.70,70.50,69.97,26.54,-9.07,-1.16,-1.57,25.70,853.63,1422.76
2026-07-22,01:13:23,130.58,25.68,70.70,69.76,0.00,-9.05,-1.10,-1.59,25.68,853.63,1422.73
2026-07-22,01:14:23,108.59,25.67,70.80,69.87,0.00,-9.07,-1.16,-1.60,25.67,853.63,1422.70
2026-07-22,01:15:23,115.86,25.66,71.00,69.97,27.74,-9.08,-1.10,-1.60,25.66,853.62,1422.81
2026-07-22,01:16:23,145.95,25.65,71.00,70.01,0.00,-9.08,-1.04,-1.60,25.65,853.63,1422.75
2026-07-22,01:17:23,130.34,25.64,71.10,69.98,0.00,-9.08,-1.16,-1.60,25.64,853.65,1422.56
2026-07-22,01:18:23,141.85,25.64,71.10,69.90,0.00,-9.06,-1.16,-1.60,25.64,853.67,1422.39
2026-07-22,01:19:23,127.99,25.62,71.10,69.90,27.79,-9.07,-1.16,-1.59,25.62,853.65,1422.51
2026-07-22,01:20:23,145.79,25.62,71.10,69.86,29.76,-9.06,-1.16,-1.60,25.62,853.66,1422.44
2026-07-22,01:21:23,145.80,25.61,71.10,70.09,0.00,-9.07,-1.16,-1.59,25.61,853.66,1422.40
2026-07-22,01:22:23,145.95,25.62,71.10,69.89,0.00,-9.07,-1.16,-1.62,25.62,853.68,1422.24
2026-07-22,01:23:23,119.16,25.60,71.00,69.95,0.00,-9.07,-1.22,-1.60,25.60,853.65,1422.58
2026-07-22,01:24:23,145.38,25.60,71.00,70.06,0.00,-9.07,-1.04,-1.59,25.60,853.64,1422.62
2026-07-22,01:25:23,145.96,25.60,71.00,69.79,32.12,-9.07,-1.22,-1.59,25.60,853.62,1422.82
2026-07-22,01:26:23,145.70,25.59,71.00,69.93,27.17,-9.06,-1.16,-1.60,25.59,853.63,1422.69
2026-07-22,01:27:23,145.79,25.59,71.10,69.86,22.62,-9.07,-1.22,-1.59,25.59,853.63,1422.74
2026-07-22,01:28:23,138.92,25.59,71.00,70.01,25.64,-9.05,-1.16,-1.58,25.59,853.62,1422.79
2026-07-22,01:29:23,121.72,25.59,71.00,70.14,29.78,-9.08,-1.16,-1.58,25.59,853.62,1422.82
2026-07-22,01:30:23,130.93,25.58,71.00,69.73,32.45,-9.06,-1.16,-1.60,25.58,853.63,1422.78
2026-07-22,01:31:23,145.73,25.58,70.90,69.92,0.00,-9.08,-1.16,-1.59,25.58,853.61,1422.91
2026-07-22,01:32:23,124.44,25.59,71.00,69.88,0.00,-9.05,-1.10,-1.61,25.59,853.62,1422.88
2026-07-22,01:33:23,145.79,25.58,71.00,70.03,0.00,-9.08,-1.10,-1.60,25.58,853.61,1422.94
2026-07-22,01:34:23,145.70,25.58,71.00,69.67,32.27,-9.06,-1.10,-1.62,25.58,853.61,1422.94
2026-07-22,01:35:23,145.82,25.58,71.00,69.82,0.00,-9.08,-1.16,-1.61,25.58,853.60,1423.01
2026-07-22,01:36:23,145.86,25.57,71.10,70.01,0.00,-9.06,-1.10,-1.58,25.57,853.60,1422.98
2026-07-22,01:37:23,145.86,25.57,71.10,69.89,31.42,-9.07,-1.16,-1.60,25.57,853.58,1423.19
2026-07-22,01:38:23,106.62,25.57,71.10,69.82,25.60,-9.08,-1.16,-1.60,25.57,853.58,1423.22
2026-07-22,01:39:23,135.56,25.57,71.10,69.64,0.00,-9.06,-1.16,-1.60,25.57,853.58,1423.22
2026-07-22,01:40:23,130.66,25.58,71.00,69.89,0.00,-9.08,-1.16,-1.64,25.58,853.56,1423.44
2026-07-22,01:41:23,145.86,25.57,71.10,70.02,0.00,-9.07,-1.16,-1.58,25.57,853.56,1423.44
2026-07-22,01:42:23,138.11,25.57,71.10,69.82,0.00,-9.06,-1.10,-1.60,25.57,853.54,1423.58
2026-07-22,01:43:23,145.82,25.57,71.10,69.81,0.00,-9.09,-1.16,-1.61,25.57,853.52,1423.80
2026-07-22,01:44:23,131.00,25.58,71.10,70.00,0.00,-9.07,-1.10,-1.60,25.58,853.51,1423.86
2026-07-22,01:45:23,121.52,25.58,71.10,69.86,0.00,-9.07,-1.10,-1.63,25.58,853.51,1423.91
2026-07-22,01:46:23,145.59,25.57,71.10,69.91,0.00,-9.07,-1.16,-1.59,25.57,853.46,1424.35
2026-07-22,01:47:23,131.59,25.58,71.10,69.93,0.00,-9.07,-1.16,-1.59,25.58,853.46,1424.40
2026-07-22,01:48:23,145.71,25.57,71.10,70.04,0.00,-9.07,-1.10,-1.58,25.57,853.45,1424.45
2026-07-22,01:49:23,107.54,25.57,71.20,69.90,0.00,-9.08,-1.10,-1.62,25.57,853.42,1424.78
2026-07-22,01:50:23,136.47,25.57,71.20,70.01,21.53,-9.06,-1.16,-1.59,25.57,853.42,1424.78
2026-07-22,01:51:23,127.83,25.56,71.20,69.88,26.13,-9.05,-1.22,-1.59,25.56,853.40,1424.90
2026-07-22,01:52:23,120.71,25.56,71.20,69.87,21.90,-9.08,-1.10,-1.61,25.56,853.39,1425.05
2026-07-22,01:53:23,116.82,25.56,71.20,69.84,0.00,-9.06,-1.16,-1.58,25.56,853.37,1425.26
2026-07-22,01:54:23,113.28,25.55,71.10,69.97,21.64,-9.07,-1.16,-1.59,25.55,853.35,1425.40
2026-07-22,01:55:23,124.60,25.54,71.20,69.90,0.00,-9.08,-1.10,-1.60,25.54,853.32,1425.73
2026-07-22,01:56:23,116.56,25.54,71.20,69.93,0.00,-9.07,-1.10,-1.59,25.54,853.31,1425.77
2026-07-22,01:57:23,145.55,25.54,71.20,69.95,0.00,-9.07,-1.10,-1.60,25.54,853.30,1425.84
2026-07-22,01:58:23,145.54,25.52,71.30,70.08,0.00,-9.08,-1.16,-1.59,25.52,853.30,1425.85
2026-07-22,01:59:23,145.54,25.53,71.20,69.90,0.00,-9.07,-1.10,-1.59,25.53,853.29,1426.01
2026-07-22,02:00:23,145.64,25.52,71.30,69.92,0.00,-9.06,-1.10,-1.60,25.52,853.29,1425.97
2026-07-22,02:01:23,145.76,25.51,71.20,69.85,0.00,-9.06,-1.10,-1.59,25.51,853.27,1426.15
2026-07-22,02:02:23,145.87,25.51,71.20,70.07,0.00,-9.07,-1.16,-1.59,25.51,853.29,1425.96
2026-07-22,02:03:23,146.08,25.50,71.20,69.96,0.00,-9.08,-1.16,-1.59,25.50,853.28,1426.13
2026-07-22,02:04:23,145.22,25.49,71.20,69.93,0.00,-9.07,-1.16,-1.59,25.49,853.27,1426.18
2026-07-22,02:05:23,145.76,25.48,71.20,69.90,0.00,-9.07,-1.10,-1.58,25.48,853.25,1426.33
2026-07-22,02:06:23,126.35,25.47,71.30,69.85,22.71,-9.07,-1.16,-1.60,25.47,853.25,1426.36
2026-07-22,02:07:23,139.94,25.46,71.30,69.90,0.00,-9.06,-1.16,-1.61,25.46,853.22,1426.66
2026-07-22,02:08:23,145.69,25.46,71.30,70.02,0.00,-9.06,-1.22,-1.57,25.46,853.22,1426.61
2026-07-22,02:09:23,138.52,25.44,71.30,69.86,25.99,-9.10,-1.16,-1.58,25.44,853.22,1426.67
2026-07-22,02:10:23,130.69,25.44,71.30,69.83,25.37,-9.08,-1.16,-1.61,25.44,853.23,1426.59
