YYYY-MM-DD,HH:MM:SS,dist_cm,temp_c,hum_pct,pitch_deg,gas_ppm,ax_ms2,gx_dps,ay_ms2,bmp_t_c,bmp_p_hpa,bmp_alt_m
2026-07-21,00:00:20,137.73,24.62,74.70,70.14,0.00,-9.10,-1.22,-1.56,24.62,856.65,1393.89
2026-07-21,00:01:20,135.55,24.61,74.70,70.27,25.39,-9.09,-1.16,-1.55,24.61,856.66,1393.75
2026-07-21,00:02:20,85.97,24.60,74.70,70.09,0.00,-9.09,-1.10,-1.57,24.60,856.65,1393.90
2026-07-21,00:03:20,137.30,24.60,74.80,70.26,21.38,-9.10,-1.22,-1.56,24.60,856.64,1394.01
2026-07-21,00:04:20,137.51,24.60,74.70,70.03,27.52,-9.06,-1.10,-1.54,24.60,856.67,1393.71
2026-07-21,00:05:20,132.74,24.59,74.70,70.10,0.00,-9.10,-1.16,-1.56,24.59,856.66,1393.76
2026-07-21,00:06:20,110.95,24.59,74.70,70.10,30.57,-9.09,-1.16,-1.55,24.59,856.64,1393.99
2026-07-21,00:07:20,138.60,24.59,74.70,69.94,0.00,-9.07,-1.10,-1.58,24.59,856.64,1393.98
2026-07-21,00:08:20,139.04,24.59,74.70,70.19,0.00,-9.09,-1.16,-1.54,24.59,856.64,1394.01
2026-07-21,00:09:20,138.16,24.58,74.70,70.02,0.00,-9.09,-1.16,-1.57,24.58,856.63,1394.07
2026-07-21,00:10:20,137.88,24.58,74.70,70.14,27.57,-9.09,-1.10,-1.55,24.58,856.64,1393.96
2026-07-21,00:11:20,137.74,24.58,74.80,70.09,0.00,-9.09,-1.16,-1.58,24.58,856.62,1394.14
2026-07-21,00:12:20,137.74,24.59,74.80,69.86,30.50,-9.08,-1.22,-1.56,24.59,856.61,1394.27
2026-07-21,00:13:20,138.37,24.58,74.70,70.18,0.00,-9.08,-1.10,-1.57,24.58,856.60,1394.34
2026-07-21,00:14:20,134.70,24.57,74.70,70.14,30.63,-9.09,-1.16,-1.57,24.57,856.60,1394.41
2026-07-21,00:15:20,137.87,24.56,74.70,70.07,0.00,-9.08,-1.16,-1.57,24.56,856.57,1394.61
2026-07-21,00:16:20,128.90,24.56,74.70,70.24,0.00,-9.09,-1.16,-1.55,24.56,856.56,1394.78
2026-07-21,00:17:20,116.51,24.56,74.80,70.05,25.05,-9.08,-1.16,-1.57,24.56,856.55,1394.84
2026-07-21,00:18:20,135.00,24.56,74.80,70.02,21.14,-9.09,-1.22,-1.55,24.56,856.53,1394.99
2026-07-21,00:19:20,130.76,24.55,74.70,70.14,18.41,-9.09,-1.22,-1.56,24.55,856.52,1395.17
2026-07-21,00:20:20,138.18,24.55,74.70,69.96,0.00,-9.09,-1.16,-1.58,24.55,856.48,1395.48
2026-07-21,00:21:20,97.97,24.54,74.80,70.09,25.55,-9.09,-1.10,-1.55,24.54,856.49,1395.45
2026-07-21,00:22:20,137.73,24.55,74.80,70.10,0.00,-9.09,-1.22,-1.56,24.55,856.46,1395.74
2026-07-21,00:23:20,131.32,24.54,74.80,70.13,0.00,-9.09,-1.16,-1.55,24.54,856.44,1395.88
2026-07-21,00:24:20,102.15,24.54,74.80,70.29,0.00,-9.10,-1.16,-1.54,24.54,856.45,1395.82
2026-07-21,00:25:20,137.75,24.54,74.80,70.18,21.49,-9.08,-1.16,-1.55,24.54,856.43,1395.98
2026-07-21,00:26:20,90.61,24.53,74.70,70.03,0.00,-9.07,-1.04,-1.56,24.53,856.43,1395.96
2026-07-21,00:27:20,94.29,24.53,74.70,70.22,0.00,-9.08,-1.10,-1.55,24.53,856.40,1396.23
2026-07-21,00:28:20,138.18,24.53,74.70,70.10,0.00,-9.08,-1.16,-1.56,24.53,856.40,1396.29
2026-07-21,00:29:20,138.02,24.52,74.70,70.09,18.65,-9.08,-1.10,-1.56,24.52,856.39,1396.38
2026-07-21,00:30:20,128.91,24.52,74.60,70.04,0.00,-9.09,-1.22,-1.54,24.52,856.38,1396.48
2026-07-21,00:31:20,101.69,24.52,74.60,70.33,16.66,-9.09,-1.16,-1.56,24.52,856.37,1396.59
2026-07-21,00:32:20,120.92,24.52,74.50,70.16,0.00,-9.08,-1.10,-1.56,24.52,856.36,1396.67
2026-07-21,00:33:20,123.02,24.51,74.40,70.21,15.31,-9.09,-1.16,-1.55,24.51,856.34,1396.84
2026-07-21,00:34:20,129.36,24.51,74.40,69.99,21.98,-9.09,-1.22,-1.57,24.51,856.31,1397.09
2026-07-21,00:35:20,138.33,24.50,74.20,70.17,28.43,-9.09,-1.16,-1.57,24.50,856.30,1397.22
2026-07-21,00:36:20,137.75,24.50,74.20,70.17,0.00,-9.09,-1.16,-1.56,24.50,856.26,1397.56
2026-07-21,00:37:20,111.18,24.50,74.20,70.30,0.00,-9.08,-1.16,-1.56,24.50,856.26,1397.61
2026-07-21,00:38:20,126.25,24.49,74.10,70.38,32.66,-9.10,-1.10,-1.55,24.49,856.24,1397.77
2026-07-21,00:39:20,138.19,24.48,74.00,69.94,34.27,-9.07,-1.10,-1.57,24.48,856.24,1397.80
2026-07-21,00:40:20,137.91,24.47,74.10,70.16,35.08,-9.08,-1.10,-1.53,24.47,856.21,1398.10
2026-07-21,00:41:20,128.78,24.48,74.10,70.32,0.00,-9.09,-1.10,-1.56,24.48,856.17,1398.44
2026-07-21,00:42:20,137.99,24.47,74.10,70.08,0.00,-9.09,-1.16,-1.55,24.47,856.18,1398.37
2026-07-21,00:43:20,117.72,24.47,74.00,70.11,28.16,-9.09,-1.22,-1.57,24.47,856.17,1398.45
2026-07-21,00:44:20,135.71,24.47,74.00,70.31,23.54,-9.09,-1.16,-1.52,24.47,856.17,1398.51
2026-07-21,00:45:20,108.23,24.46,74.00,70.17,0.00,-9.08,-1.16,-1.57,24.46,856.12,1398.91
2026-07-21,00:46:20,137.97,24.46,74.00,70.20,20.08,-9.09,-1.10,-1.57,24.46,856.09,1399.27
2026-07-21,00:47:20,56.68,24.45,73.90,70.00,25.77,-9.09,-1.16,-1.57,24.45,856.04,1399.67
2026-07-21,00:48:20,102.55,24.45,74.00,70.04,29.44,-9.08,-1.10,-1.57,24.45,856.04,1399.68
2026-07-21,00:49:20,138.19,24.44,74.00,70.06,0.00,-9.09,-1.10,-1.57,24.44,855.99,1400.14
2026-07-21,00:50:20,138.01,24.44,74.00,70.15,0.00,-9.09,-1.16,-1.57,24.44,855.97,1400.39
2026-07-21,00:51:20,110.37,24.43,74.00,70.31,0.00,-9.08,-1.16,-1.55,24.43,855.96,1400.51
2026-07-21,00:52:20,111.39,24.42,74.00,70.07,30.53,-9.08,-1.10,-1.57,24.42,855.93,1400.74
2026-07-21,00:53:20,138.06,24.41,74.00,70.10,0.00,-9.09,-1.04,-1.56,24.41,855.91,1400.93
2026-07-21,00:54:20,123.85,24.41,74.00,70.04,0.00,-9.10,-1.16,-1.56,24.41,855.90,1401.04
