YYYY-MM-DD,HH:MM:SS,dist_cm,temp_c,hum_pct,pitch_deg,gas_ppm,ax_ms2,gx_dps,ay_ms2,bmp_t_c,bmp_p_hpa,bmp_alt_m
2026-07-24,00:00:55,252.54,23.31,77.70,70.03,25.55,-9.07,-1.22,-1.60,23.31,856.36,1396.68
2026-07-24,00:01:55,252.52,23.32,77.80,69.96,21.49,-9.08,-1.16,-1.60,23.32,856.35,1396.71
2026-07-24,00:02:55,252.83,23.33,77.80,70.10,18.65,-9.08,-1.22,-1.58,23.33,856.37,1396.54
2026-07-24,00:03:55,252.39,23.34,77.70,69.89,20.49,-9.08,-1.10,-1.60,23.34,856.37,1396.57
2026-07-24,00:04:55,252.56,23.34,77.70,69.92,22.63,-9.08,-1.28,-1.58,23.34,856.36,1396.61
2026-07-24,00:05:55,252.56,23.35,77.50,70.11,22.46,-9.08,-1.22,-1.60,23.35,856.36,1396.64
2026-07-24,00:06:55,252.56,23.34,77.50,70.08,25.04,-9.06,-1.10,-1.60,23.34,856.36,1396.63
2026-07-24,00:07:55,252.77,23.33,77.40,70.03,25.72,-9.09,-1.16,-1.61,23.33,856.37,1396.59
2026-07-24,00:08:55,252.18,23.33,77.40,70.02,26.56,-9.05,-1.16,-1.57,23.33,856.36,1396.67
2026-07-24,00:09:55,252.52,23.31,77.40,69.92,24.78,-9.06,-1.16,-1.59,23.31,856.35,1396.76
2026-07-24,00:10:55,252.63,23.31,77.40,70.11,22.96,-9.08,-1.10,-1.58,23.31,856.34,1396.83
2026-07-24,00:11:55,252.92,23.31,77.50,70.03,21.93,-9.08,-1.16,-1.59,23.31,856.32,1396.99
2026-07-24,00:12:55,252.92,23.31,77.50,69.95,20.46,-9.06,-1.16,-1.60,23.31,856.34,1396.88
2026-07-24,00:13:55,252.38,23.31,77.50,70.14,26.62,-9.07,-1.16,-1.60,23.31,856.33,1396.98
2026-07-24,00:14:55,252.45,23.31,77.40,70.03,22.36,-9.06,-1.16,-1.58,23.31,856.31,1397.12
2026-07-24,00:15:55,252.71,23.32,77.40,70.05,20.26,-9.08,-1.22,-1.60,23.32,856.33,1396.97
2026-07-24,00:16:55,252.51,23.30,77.30,70.00,19.85,-9.08,-1.10,-1.60,23.30,856.32,1397.05
2026-07-24,00:17:55,252.66,23.31,77.30,70.07,22.70,-9.08,-1.22,-1.58,23.31,856.31,1397.14
