YYYY-MM-DD,HH:MM:SS,dist_cm,temp_c,hum_pct,pitch_deg,gas_ppm,ax_ms2,gx_dps,ay_ms2,bmp_t_c,bmp_p_hpa,bmp_alt_m
2026-07-23,00:00:53,251.22,25.90,74.50,70.02,25.88,-9.08,-1.16,-1.59,25.90,854.52,1414.25
2026-07-23,00:01:53,251.23,25.89,74.50,70.04,24.75,-9.10,-1.16,-1.61,25.89,854.52,1414.24
2026-07-23,00:02:53,252.07,25.89,74.40,70.10,22.34,-9.09,-1.16,-1.60,25.89,854.52,1414.18
2026-07-23,00:03:53,251.44,25.89,74.40,70.00,0.00,-9.09,-1.10,-1.62,25.89,854.51,1414.34
2026-07-23,00:04:53,253.84,25.88,74.50,69.98,26.92,-9.09,-1.10,-1.59,25.88,854.49,1414.53
2026-07-23,00:05:53,251.65,25.88,74.50,69.98,22.45,-9.09,-1.10,-1.61,25.88,854.48,1414.61
2026-07-23,00:06:53,251.24,25.87,74.50,69.99,25.61,-9.07,-1.16,-1.60,25.87,854.47,1414.73
2026-07-23,00:07:53,251.69,25.87,74.50,70.04,22.51,-9.09,-1.10,-1.59,25.87,854.47,1414.74
2026-07-23,00:08:53,251.69,25.86,74.50,70.08,21.95,-9.09,-1.10,-1.58,25.86,854.44,1414.98
2026-07-23,00:09:53,251.69,25.85,74.40,70.03,20.47,-9.10,-1.10,-1.61,25.85,854.40,1415.41
2026-07-23,00:10:53,251.49,25.85,74.60,70.16,20.65,-9.08,-1.10,-1.60,25.85,854.41,1415.31
2026-07-23,00:11:53,251.27,25.84,74.40,70.16,0.00,-9.10,-1.16,-1.60,25.84,854.37,1415.70
2026-07-23,00:12:53,251.47,25.83,74.40,69.97,20.46,-9.11,-1.16,-1.62,25.83,854.33,1416.07
2026-07-23,00:13:53,251.68,25.82,74.40,70.02,21.49,-9.07,-1.16,-1.60,25.82,854.30,1416.35
2026-07-23,00:14:53,251.69,25.81,74.60,70.01,26.60,-9.07,-1.16,-1.60,25.81,854.26,1416.66
2026-07-23,00:15:53,251.71,25.81,74.50,70.10,30.52,-9.09,-1.10,-1.61,25.81,854.24,1416.91
2026-07-23,00:16:53,251.28,25.79,74.60,70.05,26.00,-9.10,-1.10,-1.60,25.79,854.19,1417.40
2026-07-23,00:17:53,251.48,25.78,74.70,70.36,25.43,-9.10,-1.10,-1.59,25.78,854.16,1417.68
2026-07-23,00:18:53,251.84,25.78,74.70,69.98,28.91,-9.07,-1.10,-1.60,25.78,854.14,1417.88
2026-07-23,00:19:53,251.50,25.75,74.80,70.13,29.31,-9.07,-1.10,-1.59,25.75,854.15,1417.73
2026-07-23,00:20:53,251.28,25.75,74.70,69.98,24.13,-9.08,-1.04,-1.60,25.75,854.11,1418.15
2026-07-23,00:21:53,251.13,25.75,74.80,70.03,23.50,-9.07,-1.16,-1.58,25.75,854.12,1418.09
2026-07-23,00:22:53,251.13,25.74,74.80,70.03,23.29,-9.09,-1.22,-1.61,25.74,854.10,1418.27
2026-07-23,00:23:53,251.31,25.74,74.80,70.07,22.69,-9.08,-1.16,-1.59,25.74,854.10,1418.26
2026-07-23,00:24:53,251.73,25.72,74.70,70.07,21.51,-9.11,-1.10,-1.60,25.72,854.11,1418.17
2026-07-23,00:25:53,252.16,25.71,74.70,70.02,22.87,-9.09,-1.10,-1.61,25.71,854.10,1418.25
2026-07-23,00:26:53,251.32,25.71,74.80,70.02,0.00,-9.09,-1.10,-1.59,25.71,854.10,1418.25
2026-07-23,00:27:53,251.22,25.70,74.90,70.24,0.00,-9.10,-1.16,-1.60,25.70,854.10,1418.23
2026-07-23,00:28:53,251.28,25.69,74.80,70.11,24.38,-9.09,-1.10,-1.58,25.69,854.11,1418.19
2026-07-23,00:29:53,252.12,25.69,75.00,70.00,23.73,-9.08,-1.16,-1.60,25.69,854.13,1417.98
2026-07-23,00:30:53,251.62,25.68,75.00,70.18,24.65,-9.09,-1.04,-1.59,25.68,854.16,1417.70
2026-07-23,00:31:53,251.35,25.67,74.90,70.21,25.95,-9.08,-1.10,-1.60,25.67,854.17,1417.60
2026-07-23,00:32:53,252.16,25.66,74.90,70.04,21.77,-9.12,-1.16,-1.59,25.66,854.16,1417.63
2026-07-23,00:33:53,251.74,25.65,75.00,70.18,23.37,-9.08,-1.16,-1.60,25.65,854.18,1417.52
2026-07-23,00:34:53,251.35,25.64,75.00,70.25,24.41,-9.10,-1.10,-1.59,25.64,854.17,1417.58
2026-07-23,00:35:53,251.20,25.64,75.00,70.02,20.69,-9.10,-1.16,-1.59,25.64,854.18,1417.52
2026-07-23,00:36:53,251.77,25.63,75.00,70.02,21.64,-9.06,-1.16,-1.59,25.63,854.15,1417.80
2026-07-23,00:37:53,251.33,25.63,75.00,70.08,21.99,-9.07,-1.10,-1.61,25.63,854.16,1417.67
2026-07-23,00:38:53,251.24,25.62,75.00,70.02,19.63,-9.07,-1.16,-1.59,25.62,854.15,1417.80
2026-07-23,00:39:53,252.04,25.60,74.90,70.03,17.35,-9.09,-1.10,-1.59,25.60,854.12,1418.06
2026-07-23,00:40:53,251.14,25.60,74.80,70.09,19.70,-9.08,-1.16,-1.61,25.60,854.12,1418.06
2026-07-23,00:41:53,251.79,25.59,74.90,70.04,19.05,-9.08,-0.98,-1.61,25.59,854.08,1418.41
2026-07-23,00:42:53,251.36,25.58,74.90,70.07,21.75,-9.08,-1.16,-1.61,25.58,854.08,1418.40
2026-07-23,00:43:53,266.80,25.56,74.90,70.01,22.12,-9.07,-1.16,-1.60,25.56,854.05,1418.67
2026-07-23,00:44:53,252.07,25.57,74.90,69.89,26.41,-9.06,-1.10,-1.61,25.57,854.05,1418.73
2026-07-23,00:45:53,251.81,25.56,75.00,70.04,30.28,-9.09,-1.10,-1.62,25.56,854.06,1418.66
2026-07-23,00:46:53,252.19,25.55,75.00,70.02,0.00,-9.09,-1.16,-1.59,25.55,854.05,1418.73
2026-07-23,00:47:53,251.59,25.54,75.00,70.00,28.96,-9.08,-1.16,-1.62,25.54,854.05,1418.73
2026-07-23,00:48:53,251.35,25.53,75.00,70.06,26.06,-9.07,-1.10,-1.58,25.53,854.03,1418.95
2026-07-23,00:49:53,251.38,25.52,74.90,70.09,26.04,-9.08,-1.16,-1.60,25.52,854.04,1418.79
2026-07-23,00:50:53,251.40,25.51,74.80,69.98,24.69,-9.07,-1.04,-1.59,25.51,854.07,1418.50
2026-07-23,00:51:53,251.38,25.51,74.90,70.21,22.25,-9.09,-1.16,-1.59,25.51,854.07,1418.52
2026-07-23,00:52:53,251.90,25.51,74.90,70.13,21.69,-9.08,-1.10,-1.61,25.51,854.05,1418.67
2026-07-23,00:53:53,252.19,25.51,74.90,70.09,22.32,-9.09,-1.16,-1.59,25.51,854.06,1418.64
2026-07-23,00:54:53,252.21,25.50,74.80,70.19,23.59,-9.09,-1.10,-1.59,25.50,854.08,1418.47
2026-07-23,00:55:53,251.57,25.48,74.80,70.20,24.27,-9.10,-1.16,-1.60,25.48,854.09,1418.29
2026-07-23,00:56:53,251.37,25.48,74.90,70.10,23.52,-9.08,-1.10,-1.61,25.48,854.11,1418.13
2026-07-23,00:57:53,251.53,25.48,75.00,70.10,28.37,-9.10,-1.10,-1.59,25.48,854.10,1418.20
2026-07-23,00:58:53,251.85,25.46,75.00,70.13,23.46,-9.08,-1.10,-1.61,25.46,854.10,1418.19
2026-07-23,00:59:53,251.26,25.45,74.90,69.92,25.30,-9.09,-1.10,-1.60,25.45,854.09,1418.29
2026-07-23,01:00:53,251.69,25.44,75.00,70.17,25.32,-9.09,-1.10,-1.59,25.44,854.09,1418.32
2026-07-23,01:01:53,251.38,25.44,75.00,70.03,29.86,-9.09,-1.04,-1.58,25.44,854.05,1418.76
2026-07-23,01:02:53,251.86,25.43,75.00,70.09,32.69,-9.09,-1.10,-1.61,25.43,854.05,1418.71
2026-07-23,01:03:53,251.41,25.43,75.10,69.94,28.72,-9.10,-1.16,-1.59,25.43,854.03,1418.86
2026-07-23,01:04:53,251.67,25.42,75.00,70.08,30.92,-9.09,-1.16,-1.58,25.42,854.04,1418.83
2026-07-23,01:05:53,251.81,25.41,74.90,69.99,33.92,-9.08,-1.10,-1.59,25.41,854.05,1418.69
