YYYY-MM-DD,HH:MM:SS,dist_cm,temp_c,hum_pct,pitch_deg,gas_ppm,ax_ms2,gx_dps,ay_ms2,bmp_t_c,bmp_p_hpa,bmp_alt_m
2026-07-25,00:00:57,134.03,24.36,73.10,70.08,29.64,-9.08,-1.10,-1.59,24.36,857.17,1388.91
2026-07-25,00:01:57,149.11,24.36,73.00,69.96,27.67,-9.07,-1.10,-1.60,24.36,857.13,1389.30
2026-07-25,00:02:57,148.71,24.35,73.00,69.95,26.43,-9.07,-1.16,-1.61,24.35,857.09,1389.66
2026-07-25,00:03:57,148.59,24.35,73.10,69.98,26.03,-9.08,-1.10,-1.60,24.35,857.08,1389.77
2026-07-25,00:04:57,148.85,24.35,73.10,69.95,26.78,-9.08,-1.10,-1.62,24.35,857.07,1389.89
2026-07-25,00:05:57,148.68,24.34,73.10,69.98,27.95,-9.09,-1.04,-1.60,24.34,857.06,1389.99
2026-07-25,00:06:57,131.74,24.33,73.20,70.05,27.85,-9.08,-1.10,-1.60,24.33,857.07,1389.92
2026-07-25,00:07:57,135.39,24.32,73.20,70.01,26.66,-9.07,-1.10,-1.59,24.32,857.06,1389.97
2026-07-25,00:08:57,148.40,24.32,73.30,70.13,24.84,-9.05,-1.16,-1.58,24.32,857.08,1389.78
2026-07-25,00:09:57,149.13,24.30,73.30,69.89,29.60,-9.08,-1.10,-1.62,24.30,857.08,1389.81
2026-07-25,00:10:57,148.71,24.30,73.30,69.86,28.77,-9.06,-1.10,-1.60,24.30,857.09,1389.65
2026-07-25,00:11:57,130.34,24.30,73.50,69.93,30.35,-9.07,-1.16,-1.61,24.30,857.08,1389.76
2026-07-25,00:12:57,129.69,24.29,73.40,69.88,28.82,-9.06,-1.10,-1.60,24.29,857.08,1389.81
2026-07-25,00:13:57,103.36,24.29,73.30,69.90,32.10,-9.07,-1.10,-1.60,24.29,857.07,1389.88
2026-07-25,00:14:57,132.58,24.29,73.40,70.12,29.54,-9.09,-1.10,-1.60,24.29,857.07,1389.88
2026-07-25,00:15:57,148.42,24.28,73.40,70.03,28.95,-9.09,-1.10,-1.60,24.28,857.06,1389.97
2026-07-25,00:16:57,148.42,24.28,73.40,70.05,27.80,-9.07,-1.16,-1.59,24.28,857.07,1389.90
2026-07-25,00:17:57,148.42,24.27,73.40,70.12,27.11,-9.09,-1.10,-1.60,24.27,857.07,1389.88
2026-07-25,00:18:57,131.73,24.27,73.30,69.96,28.14,-9.07,-1.10,-1.62,24.27,857.08,1389.79
2026-07-25,00:19:57,148.59,24.27,73.30,70.00,27.27,-9.08,-1.16,-1.58,24.27,857.07,1389.86
2026-07-25,00:20:57,130.31,24.26,73.30,69.96,30.47,-9.07,-1.16,-1.60,24.26,857.04,1390.13
2026-07-25,00:21:57,110.56,24.26,73.20,70.00,25.43,-9.08,-1.16,-1.59,24.26,857.03,1390.22
2026-07-25,00:22:57,120.50,24.25,71.90,70.07,24.42,-9.07,-1.10,-1.59,24.25,857.02,1390.36
2026-07-25,00:23:57,106.06,24.26,73.00,69.97,25.28,-9.09,-1.16,-1.60,24.26,856.99,1390.60
2026-07-25,00:24:57,116.79,24.25,73.00,70.06,21.99,-9.08,-1.16,-1.59,24.25,856.97,1390.87
2026-07-25,00:25:57,148.62,24.25,73.00,70.00,23.27,-9.07,-1.16,-1.59,24.25,856.93,1391.26
2026-07-25,00:26:57,148.82,24.24,73.00,69.99,23.34,-9.08,-1.10,-1.60,24.24,856.93,1391.20
