file,size_bytes,sha256
data_station101_registers.zip,231222,b457af086285dc342e8454ef5b8325ea8e555e215e992c129f527e891773cd46
data_station101_system_logs.zip,35872,ced95826cde58d403dbccdc98f834a8c534ac326ba3155fd0ad6e715b1e2d30d
