date,time,epoch,time_quality,boot_id,uptime_ms,severity,component,event,from_state,to_state,result,details
"2026-07-27","00:01:00",1785128460,"NTP",23,360000522,"INFO","SYSTEM","HEALTH_SNAPSHOT","","","OK","firmware=12.3-SYNC-RC1;heap=134632;sd_ok=1;sd_free=3995997065;wifi=1;rssi=-76;state=ONLINE;pending_sd=0;pending_ram=0;backfill_dropped=0;backfill_cause=THINGSPEAK_BULK_CODE_-1;bulk_size=30;bulk_duration_ms=918;wifi_losses=4;ts_failures=146;log_buffer=0;log_dropped=0"
"2026-07-27","00:30:39",1785130239,"NTP",23,361779167,"WARNING","SYNC","THINGSPEAK_UNAVAILABLE","","","FAIL","mode=ONLINE;code=-301"
"2026-07-27","00:30:39",1785130239,"NTP",23,361779331,"WARNING","SYNC","BACKFILL_TRIGGER","ONLINE","BACKFILL","DEGRADED","cause=THINGSPEAK_FAILURE;code=-301;wifi_status=CONNECTED;wifi_code=3;rssi=-76;pending=1"
"2026-07-27","00:30:39",1785130239,"NTP",23,361779386,"INFO","SYSTEM","STATE_CHANGE","ONLINE","BACKFILL","OK","pending_sd=1;pending_ram=0;wifi=connected;ts_code=-301;cause=THINGSPEAK_ONLINE_CODE_-301"
"2026-07-27","00:30:39",1785130239,"NTP",23,361779443,"INFO","SYNC","BACKFILL_STARTED","ONLINE","BACKFILL","OK","pending_sd=1;pending_ram=0;wifi=connected;ts_code=-301;cause=THINGSPEAK_ONLINE_CODE_-301"
"2026-07-27","00:31:16",1785130276,"NTP",23,361816179,"WARNING","SYNC","BACKFILL_BATCH_FAILED","","","FAIL","code=-1;count=1;bytes=213;duration_ms=24004;heap_before=139252;heap_after=139076;pending=1;wifi_status=CONNECTED;wifi_code=3;rssi=-76"
"2026-07-27","00:32:10",1785130330,"NTP",23,361870253,"WARNING","SYNC","BACKFILL_BATCH_FAILED","","","FAIL","code=-1;count=2;bytes=378;duration_ms=24004;heap_before=139168;heap_after=139112;pending=2;wifi_status=CONNECTED;wifi_code=3;rssi=-75"
"2026-07-27","00:33:04",1785130384,"NTP",23,361924329,"WARNING","SYNC","BACKFILL_BATCH_FAILED","","","FAIL","code=-1;count=3;bytes=543;duration_ms=24004;heap_before=139064;heap_after=138716;pending=3;wifi_status=CONNECTED;wifi_code=3;rssi=-75"
"2026-07-27","00:33:35",1785130415,"NTP",23,361955119,"INFO","SYNC","THINGSPEAK_RECOVERED","","","OK","mode=BACKFILL_BULK;code=200"
"2026-07-27","00:33:35",1785130415,"NTP",23,361955225,"INFO","SYNC","BACKFILL_BATCH_SENT","","","OK","count=4;bytes=708;duration_ms=716;heap_before=138840;heap_after=137932;remaining=0;offset=0"
"2026-07-27","00:33:35",1785130415,"NTP",23,361955308,"INFO","SYSTEM","STATE_CHANGE","BACKFILL","ONLINE","OK","pending_sd=0;pending_ram=0;wifi=connected;ts_code=200;cause=THINGSPEAK_BULK_CODE_-1"
"2026-07-27","00:33:35",1785130415,"NTP",23,361955363,"INFO","SYNC","BACKFILL_COMPLETED","BACKFILL","ONLINE","OK","pending_sd=0;pending_ram=0;wifi=connected;ts_code=200;cause=THINGSPEAK_BULK_CODE_-1"
"2026-07-27","01:01:01",1785132061,"NTP",23,363600534,"INFO","SYSTEM","HEALTH_SNAPSHOT","","","OK","firmware=12.3-SYNC-RC1;heap=141816;sd_ok=1;sd_free=3995988870;wifi=1;rssi=-78;state=ONLINE;pending_sd=0;pending_ram=0;backfill_dropped=0;backfill_cause=THINGSPEAK_BULK_CODE_-1;bulk_size=30;bulk_duration_ms=716;wifi_losses=4;ts_failures=150;log_buffer=0;log_dropped=0"
"2026-07-27","02:01:01",1785135661,"NTP",23,367200537,"INFO","SYSTEM","HEALTH_SNAPSHOT","","","OK","firmware=12.3-SYNC-RC1;heap=141848;sd_ok=1;sd_free=3995983041;wifi=1;rssi=-76;state=ONLINE;pending_sd=0;pending_ram=0;backfill_dropped=0;backfill_cause=THINGSPEAK_BULK_CODE_-1;bulk_size=30;bulk_duration_ms=716;wifi_losses=4;ts_failures=150;log_buffer=0;log_dropped=0"
"2026-07-27","02:04:39",1785135879,"NTP",23,367418713,"WARNING","SYNC","THINGSPEAK_UNAVAILABLE","","","FAIL","mode=ONLINE;code=-301"
"2026-07-27","02:04:39",1785135879,"NTP",23,367418885,"WARNING","SYNC","BACKFILL_TRIGGER","ONLINE","BACKFILL","DEGRADED","cause=THINGSPEAK_FAILURE;code=-301;wifi_status=CONNECTED;wifi_code=3;rssi=-77;pending=1"
"2026-07-27","02:04:39",1785135879,"NTP",23,367418942,"INFO","SYSTEM","STATE_CHANGE","ONLINE","BACKFILL","OK","pending_sd=1;pending_ram=0;wifi=connected;ts_code=-301;cause=THINGSPEAK_ONLINE_CODE_-301"
"2026-07-27","02:04:39",1785135879,"NTP",23,367418997,"INFO","SYNC","BACKFILL_STARTED","ONLINE","BACKFILL","OK","pending_sd=1;pending_ram=0;wifi=connected;ts_code=-301;cause=THINGSPEAK_ONLINE_CODE_-301"
"2026-07-27","02:05:36",1785135936,"NTP",23,367476160,"INFO","SYNC","THINGSPEAK_RECOVERED","","","OK","mode=BACKFILL_BULK;code=200"
"2026-07-27","02:05:36",1785135936,"NTP",23,367476264,"INFO","SYNC","BACKFILL_BATCH_SENT","","","OK","count=2;bytes=378;duration_ms=831;heap_before=139028;heap_after=138400;remaining=0;offset=0"
"2026-07-27","02:05:36",1785135936,"NTP",23,367476348,"INFO","SYSTEM","STATE_CHANGE","BACKFILL","ONLINE","OK","pending_sd=0;pending_ram=0;wifi=connected;ts_code=200;cause=THINGSPEAK_ONLINE_CODE_-301"
"2026-07-27","02:05:36",1785135936,"NTP",23,367476404,"INFO","SYNC","BACKFILL_COMPLETED","BACKFILL","ONLINE","OK","pending_sd=0;pending_ram=0;wifi=connected;ts_code=200;cause=THINGSPEAK_ONLINE_CODE_-301"
"2026-07-27","03:01:01",1785139261,"NTP",23,370800535,"INFO","SYSTEM","HEALTH_SNAPSHOT","","","OK","firmware=12.3-SYNC-RC1;heap=141816;sd_ok=1;sd_free=3995975681;wifi=1;rssi=-78;state=ONLINE;pending_sd=0;pending_ram=0;backfill_dropped=0;backfill_cause=THINGSPEAK_ONLINE_CODE_-301;bulk_size=30;bulk_duration_ms=831;wifi_losses=4;ts_failures=151;log_buffer=0;log_dropped=0"
"2026-07-27","03:41:41",1785141701,"NTP",23,373240433,"WARNING","SYNC","THINGSPEAK_UNAVAILABLE","","","FAIL","mode=ONLINE;code=-301"
"2026-07-27","03:41:41",1785141701,"NTP",23,373240606,"WARNING","SYNC","BACKFILL_TRIGGER","ONLINE","BACKFILL","DEGRADED","cause=THINGSPEAK_FAILURE;code=-301;wifi_status=CONNECTED;wifi_code=3;rssi=-79;pending=1"
"2026-07-27","03:41:41",1785141701,"NTP",23,373240663,"INFO","SYSTEM","STATE_CHANGE","ONLINE","BACKFILL","OK","pending_sd=1;pending_ram=0;wifi=connected;ts_code=-301;cause=THINGSPEAK_ONLINE_CODE_-301"
"2026-07-27","03:41:41",1785141701,"NTP",23,373240718,"INFO","SYNC","BACKFILL_STARTED","ONLINE","BACKFILL","OK","pending_sd=1;pending_ram=0;wifi=connected;ts_code=-301;cause=THINGSPEAK_ONLINE_CODE_-301"
"2026-07-27","03:43:01",1785141781,"NTP",23,373320380,"WARNING","SYNC","BACKFILL_BATCH_FAILED","","","FAIL","code=-1;count=2;bytes=378;duration_ms=24004;heap_before=139028;heap_after=139104;pending=2;wifi_status=CONNECTED;wifi_code=3;rssi=-76"
"2026-07-27","03:43:55",1785141835,"NTP",23,373374457,"WARNING","SYNC","BACKFILL_BATCH_FAILED","","","FAIL","code=-1;count=3;bytes=543;duration_ms=24004;heap_before=139064;heap_after=138856;pending=3;wifi_status=CONNECTED;wifi_code=3;rssi=-77"
"2026-07-27","03:44:37",1785141877,"NTP",23,373416663,"WARNING","SYNC","BACKFILL_BATCH_FAILED","","","FAIL","code=-1;count=4;bytes=708;duration_ms=12133;heap_before=138840;heap_after=138600;pending=4;wifi_status=CONNECTED;wifi_code=3;rssi=-76"
"2026-07-27","03:46:37",1785141997,"NTP",23,373537128,"WARNING","SYNC","BACKFILL_BATCH_FAILED","","","FAIL","code=-1;count=5;bytes=873;duration_ms=60387;heap_before=138584;heap_after=136032;pending=5;wifi_status=CONNECTED;wifi_code=3;rssi=-77"
"2026-07-27","03:47:09",1785142029,"NTP",23,373568777,"INFO","SYNC","THINGSPEAK_RECOVERED","","","OK","mode=BACKFILL_BULK;code=200"
