date,time,epoch,time_quality,boot_id,uptime_ms,severity,component,event,from_state,to_state,result,details
"2026-07-25","00:00:55",1784955655,"NTP",23,187200468,"INFO","SYSTEM","HEALTH_SNAPSHOT","","","OK","firmware=12.3-SYNC-RC1;heap=145880;sd_ok=1;sd_free=3996311537;wifi=0;rssi=0;state=OFFLINE;pending_sd=900;pending_ram=0;backfill_dropped=0;backfill_cause=WIFI_LINK_LOST;bulk_size=30;bulk_duration_ms=1153;wifi_losses=3;ts_failures=13;log_buffer=0;log_dropped=0"
"2026-07-25","01:00:55",1784959255,"NTP",23,190800483,"INFO","SYSTEM","HEALTH_SNAPSHOT","","","OK","firmware=12.3-SYNC-RC1;heap=145872;sd_ok=1;sd_free=3996300039;wifi=0;rssi=0;state=OFFLINE;pending_sd=960;pending_ram=0;backfill_dropped=0;backfill_cause=WIFI_LINK_LOST;bulk_size=30;bulk_duration_ms=1153;wifi_losses=3;ts_failures=13;log_buffer=0;log_dropped=0"
"2026-07-25","02:00:55",1784962855,"NTP",23,194400483,"INFO","SYSTEM","HEALTH_SNAPSHOT","","","OK","firmware=12.3-SYNC-RC1;heap=145872;sd_ok=1;sd_free=3996288763;wifi=0;rssi=0;state=OFFLINE;pending_sd=1020;pending_ram=0;backfill_dropped=0;backfill_cause=WIFI_LINK_LOST;bulk_size=30;bulk_duration_ms=1153;wifi_losses=3;ts_failures=13;log_buffer=0;log_dropped=0"
"2026-07-25","03:00:55",1784966455,"NTP",23,198000484,"INFO","SYSTEM","HEALTH_SNAPSHOT","","","OK","firmware=12.3-SYNC-RC1;heap=145872;sd_ok=1;sd_free=3996277503;wifi=0;rssi=0;state=OFFLINE;pending_sd=1080;pending_ram=0;backfill_dropped=0;backfill_cause=WIFI_LINK_LOST;bulk_size=30;bulk_duration_ms=1153;wifi_losses=3;ts_failures=13;log_buffer=0;log_dropped=0"
"2026-07-25","04:00:55",1784970055,"NTP",23,201600485,"INFO","SYSTEM","HEALTH_SNAPSHOT","","","OK","firmware=12.3-SYNC-RC1;heap=145872;sd_ok=1;sd_free=3996266245;wifi=0;rssi=0;state=OFFLINE;pending_sd=1140;pending_ram=0;backfill_dropped=0;backfill_cause=WIFI_LINK_LOST;bulk_size=30;bulk_duration_ms=1153;wifi_losses=3;ts_failures=13;log_buffer=0;log_dropped=0"
"2026-07-25","05:00:55",1784973655,"NTP",23,205200486,"INFO","SYSTEM","HEALTH_SNAPSHOT","","","OK","firmware=12.3-SYNC-RC1;heap=145872;sd_ok=1;sd_free=3996254965;wifi=0;rssi=0;state=OFFLINE;pending_sd=1200;pending_ram=0;backfill_dropped=0;backfill_cause=WIFI_LINK_LOST;bulk_size=30;bulk_duration_ms=1153;wifi_losses=3;ts_failures=13;log_buffer=0;log_dropped=0"
"2026-07-25","06:00:55",1784977255,"NTP",23,208800488,"INFO","SYSTEM","HEALTH_SNAPSHOT","","","OK","firmware=12.3-SYNC-RC1;heap=143412;sd_ok=1;sd_free=3996243693;wifi=0;rssi=0;state=OFFLINE;pending_sd=1260;pending_ram=0;backfill_dropped=0;backfill_cause=WIFI_LINK_LOST;bulk_size=30;bulk_duration_ms=1153;wifi_losses=3;ts_failures=13;log_buffer=0;log_dropped=0"
"2026-07-25","07:00:55",1784980855,"NTP",23,212400489,"INFO","SYSTEM","HEALTH_SNAPSHOT","","","OK","firmware=12.3-SYNC-RC1;heap=143412;sd_ok=1;sd_free=3996232413;wifi=0;rssi=0;state=OFFLINE;pending_sd=1320;pending_ram=0;backfill_dropped=0;backfill_cause=WIFI_LINK_LOST;bulk_size=30;bulk_duration_ms=1153;wifi_losses=3;ts_failures=13;log_buffer=0;log_dropped=0"
"2026-07-25","08:00:55",1784984455,"NTP",23,216000490,"INFO","SYSTEM","HEALTH_SNAPSHOT","","","OK","firmware=12.3-SYNC-RC1;heap=143412;sd_ok=1;sd_free=3996221133;wifi=0;rssi=0;state=OFFLINE;pending_sd=1380;pending_ram=0;backfill_dropped=0;backfill_cause=WIFI_LINK_LOST;bulk_size=30;bulk_duration_ms=1153;wifi_losses=3;ts_failures=13;log_buffer=0;log_dropped=0"
"2026-07-25","09:00:55",1784988055,"NTP",23,219600490,"INFO","SYSTEM","HEALTH_SNAPSHOT","","","OK","firmware=12.3-SYNC-RC1;heap=143412;sd_ok=1;sd_free=3996209855;wifi=0;rssi=0;state=OFFLINE;pending_sd=1440;pending_ram=0;backfill_dropped=0;backfill_cause=WIFI_LINK_LOST;bulk_size=30;bulk_duration_ms=1153;wifi_losses=3;ts_failures=13;log_buffer=0;log_dropped=0"
"2026-07-25","09:38:27",1784990307,"NTP",23,221852151,"INFO","NETWORK","WIFI_CONNECTED","","","OK","ssid=lab_sat;ip=192.168.20.7;rssi=-62"
"2026-07-25","09:39:19",1784990359,"NTP",23,221901664,"INFO","SYNC","BACKFILL_TRIGGER","OFFLINE","BACKFILL","OK","cause=WIFI_RECOVERED_WITH_PENDING;pending=1479;rssi=-75"
"2026-07-25","09:39:19",1784990359,"NTP",23,221901705,"INFO","SYSTEM","STATE_CHANGE","OFFLINE","BACKFILL","OK","pending_sd=1479;pending_ram=0;wifi=connected;ts_code=200;cause=WIFI_RECOVERED_WITH_PENDING"
"2026-07-25","09:39:19",1784990359,"NTP",23,221901759,"INFO","SYNC","BACKFILL_STARTED","OFFLINE","BACKFILL","OK","pending_sd=1479;pending_ram=0;wifi=connected;ts_code=200;cause=WIFI_RECOVERED_WITH_PENDING"
"2026-07-25","09:39:20",1784990360,"NTP",23,221903582,"INFO","SYNC","BACKFILL_BATCH_SENT","","","OK","count=30;bytes=4996;duration_ms=1624;heap_before=128804;heap_after=127908;remaining=1449;offset=2728"
"2026-07-25","09:40:22",1784990422,"NTP",23,221964982,"INFO","SYNC","BACKFILL_BATCH_SENT","","","OK","count=30;bytes=4994;duration_ms=1210;heap_before=129836;heap_after=129252;remaining=1420;offset=5454"
"2026-07-25","09:41:23",1784990483,"NTP",23,222026216,"INFO","SYNC","BACKFILL_BATCH_SENT","","","OK","count=30;bytes=4993;duration_ms=1044;heap_before=132840;heap_after=131908;remaining=1391;offset=8179"
"2026-07-25","09:42:25",1784990545,"NTP",23,222087654,"INFO","SYNC","BACKFILL_BATCH_SENT","","","OK","count=30;bytes=4993;duration_ms=1250;heap_before=132840;heap_after=131916;remaining=1362;offset=10904"
"2026-07-25","09:43:26",1784990606,"NTP",23,222148853,"INFO","SYNC","BACKFILL_BATCH_SENT","","","OK","count=30;bytes=4993;duration_ms=945;heap_before=132840;heap_after=131920;remaining=1333;offset=13629"
"2026-07-25","09:44:27",1784990667,"NTP",23,222210227,"INFO","SYNC","BACKFILL_BATCH_SENT","","","OK","count=30;bytes=4995;duration_ms=1185;heap_before=132840;heap_after=131820;remaining=1304;offset=16356"
"2026-07-25","09:45:29",1784990729,"NTP",23,222271665,"INFO","SYNC","BACKFILL_BATCH_SENT","","","OK","count=30;bytes=4996;duration_ms=1248;heap_before=132744;heap_after=131812;remaining=1275;offset=19084"
"2026-07-25","09:46:30",1784990790,"NTP",23,222332901,"INFO","SYNC","BACKFILL_BATCH_SENT","","","OK","count=30;bytes=4990;duration_ms=1047;heap_before=132744;heap_after=131808;remaining=1246;offset=21806"
"2026-07-25","09:47:01",1784990821,"NTP",23,222364133,"INFO","SYNC","BACKFILL_BATCH_SENT","","","OK","count=30;bytes=4997;duration_ms=1043;heap_before=132744;heap_after=131812;remaining=1217;offset=24535"
"2026-07-25","09:47:32",1784990852,"NTP",23,222395261,"INFO","SYNC","BACKFILL_BATCH_SENT","","","OK","count=30;bytes=4992;duration_ms=938;heap_before=132700;heap_after=131812;remaining=1187;offset=27259"
"2026-07-25","09:48:04",1784990884,"NTP",23,222426596,"INFO","SYNC","BACKFILL_BATCH_SENT","","","OK","count=30;bytes=4994;duration_ms=1147;heap_before=132744;heap_after=131824;remaining=1158;offset=29985"
"2026-07-25","09:49:05",1784990945,"NTP",23,222488248,"INFO","SYNC","BACKFILL_BATCH_SENT","","","OK","count=30;bytes=4995;duration_ms=1461;heap_before=132744;heap_after=131812;remaining=1129;offset=32712"
"2026-07-25","09:50:07",1784991007,"NTP",23,222549679,"INFO","SYNC","BACKFILL_BATCH_SENT","","","OK","count=30;bytes=4991;duration_ms=1243;heap_before=132744;heap_after=131812;remaining=1100;offset=35435"
"2026-07-25","09:51:08",1784991068,"NTP",23,222611019,"INFO","SYNC","BACKFILL_BATCH_SENT","","","OK","count=30;bytes=4971;duration_ms=1151;heap_before=132744;heap_after=131820;remaining=1071;offset=38138"
"2026-07-25","09:52:09",1784991129,"NTP",23,222672250,"INFO","SYNC","BACKFILL_BATCH_SENT","","","OK","count=30;bytes=4938;duration_ms=1042;heap_before=132744;heap_after=131812;remaining=1042;offset=40808"
