date,time,epoch,time_quality,boot_id,uptime_ms,severity,component,event,from_state,to_state,result,details
"2026-07-26","00:00:37",1785042037,"NTP",23,273578984,"WARNING","SYNC","THINGSPEAK_UNAVAILABLE","","","FAIL","mode=ONLINE;code=-301"
"2026-07-26","00:00:37",1785042037,"NTP",23,273579178,"WARNING","SYNC","BACKFILL_TRIGGER","ONLINE","BACKFILL","DEGRADED","cause=THINGSPEAK_FAILURE;code=-301;wifi_status=CONNECTED;wifi_code=3;rssi=-71;pending=1"
"2026-07-26","00:00:37",1785042037,"NTP",23,273579234,"INFO","SYSTEM","STATE_CHANGE","ONLINE","BACKFILL","OK","pending_sd=1;pending_ram=0;wifi=connected;ts_code=-301;cause=THINGSPEAK_ONLINE_CODE_-301"
"2026-07-26","00:00:37",1785042037,"NTP",23,273579291,"INFO","SYNC","BACKFILL_STARTED","ONLINE","BACKFILL","OK","pending_sd=1;pending_ram=0;wifi=connected;ts_code=-301;cause=THINGSPEAK_ONLINE_CODE_-301"
"2026-07-26","00:00:58",1785042058,"NTP",23,273600514,"INFO","SYSTEM","HEALTH_SNAPSHOT","","","OK","firmware=12.3-SYNC-RC1;heap=141080;sd_ok=1;sd_free=3996200884;wifi=1;rssi=-70;state=BACKFILL;pending_sd=2;pending_ram=0;backfill_dropped=0;backfill_cause=THINGSPEAK_ONLINE_CODE_-301;bulk_size=30;bulk_duration_ms=864;wifi_losses=3;ts_failures=53;log_buffer=0;log_dropped=0"
"2026-07-26","00:01:21",1785042081,"NTP",23,273622969,"INFO","SYNC","THINGSPEAK_RECOVERED","","","OK","mode=BACKFILL_BULK;code=200"
"2026-07-26","00:01:21",1785042081,"NTP",23,273623063,"INFO","SYNC","BACKFILL_BATCH_SENT","","","OK","count=2;bytes=378;duration_ms=972;heap_before=138000;heap_after=137368;remaining=0;offset=0"
"2026-07-26","00:01:21",1785042081,"NTP",23,273623148,"INFO","SYSTEM","STATE_CHANGE","BACKFILL","ONLINE","OK","pending_sd=0;pending_ram=0;wifi=connected;ts_code=200;cause=THINGSPEAK_ONLINE_CODE_-301"
"2026-07-26","00:01:21",1785042081,"NTP",23,273623203,"INFO","SYNC","BACKFILL_COMPLETED","BACKFILL","ONLINE","OK","pending_sd=0;pending_ram=0;wifi=connected;ts_code=200;cause=THINGSPEAK_ONLINE_CODE_-301"
"2026-07-26","01:00:59",1785045659,"NTP",23,277200511,"INFO","SYSTEM","HEALTH_SNAPSHOT","","","OK","firmware=12.3-SYNC-RC1;heap=141936;sd_ok=1;sd_free=3996194561;wifi=1;rssi=-70;state=ONLINE;pending_sd=0;pending_ram=0;backfill_dropped=0;backfill_cause=THINGSPEAK_ONLINE_CODE_-301;bulk_size=30;bulk_duration_ms=972;wifi_losses=3;ts_failures=53;log_buffer=0;log_dropped=0"
"2026-07-26","02:00:59",1785049259,"NTP",23,280800507,"INFO","SYSTEM","HEALTH_SNAPSHOT","","","OK","firmware=12.3-SYNC-RC1;heap=141936;sd_ok=1;sd_free=3996188752;wifi=1;rssi=-70;state=ONLINE;pending_sd=0;pending_ram=0;backfill_dropped=0;backfill_cause=THINGSPEAK_ONLINE_CODE_-301;bulk_size=30;bulk_duration_ms=972;wifi_losses=3;ts_failures=53;log_buffer=0;log_dropped=0"
"2026-07-26","03:00:59",1785052859,"NTP",23,284400511,"INFO","SYSTEM","HEALTH_SNAPSHOT","","","OK","firmware=12.3-SYNC-RC1;heap=141904;sd_ok=1;sd_free=3996182942;wifi=1;rssi=-71;state=ONLINE;pending_sd=0;pending_ram=0;backfill_dropped=0;backfill_cause=THINGSPEAK_ONLINE_CODE_-301;bulk_size=30;bulk_duration_ms=972;wifi_losses=3;ts_failures=53;log_buffer=0;log_dropped=0"
"2026-07-26","04:00:59",1785056459,"NTP",23,288000508,"INFO","SYSTEM","HEALTH_SNAPSHOT","","","OK","firmware=12.3-SYNC-RC1;heap=141904;sd_ok=1;sd_free=3996177138;wifi=1;rssi=-70;state=ONLINE;pending_sd=0;pending_ram=0;backfill_dropped=0;backfill_cause=THINGSPEAK_ONLINE_CODE_-301;bulk_size=30;bulk_duration_ms=972;wifi_losses=3;ts_failures=53;log_buffer=0;log_dropped=0"
"2026-07-26","04:52:29",1785059549,"NTP",23,291090626,"WARNING","SYNC","THINGSPEAK_UNAVAILABLE","","","FAIL","mode=ONLINE;code=-304"
"2026-07-26","04:52:29",1785059549,"NTP",23,291090778,"WARNING","SYNC","BACKFILL_TRIGGER","ONLINE","BACKFILL","DEGRADED","cause=THINGSPEAK_FAILURE;code=-304;wifi_status=CONNECTED;wifi_code=3;rssi=-72;pending=1"
"2026-07-26","04:52:29",1785059549,"NTP",23,291090833,"INFO","SYSTEM","STATE_CHANGE","ONLINE","BACKFILL","OK","pending_sd=1;pending_ram=0;wifi=connected;ts_code=-304;cause=THINGSPEAK_ONLINE_CODE_-304"
"2026-07-26","04:52:29",1785059549,"NTP",23,291090888,"INFO","SYNC","BACKFILL_STARTED","ONLINE","BACKFILL","OK","pending_sd=1;pending_ram=0;wifi=connected;ts_code=-304;cause=THINGSPEAK_ONLINE_CODE_-304"
"2026-07-26","04:53:32",1785059612,"NTP",23,291153374,"WARNING","SYNC","BACKFILL_BATCH_FAILED","","","FAIL","code=-1;count=2;bytes=376;duration_ms=10084;heap_before=138960;heap_after=139004;pending=2;wifi_status=CONNECTED;wifi_code=3;rssi=-72"
"2026-07-26","04:54:12",1785059652,"NTP",23,291193450,"WARNING","SYNC","BACKFILL_BATCH_FAILED","","","FAIL","code=-1;count=3;bytes=540;duration_ms=10004;heap_before=138932;heap_after=138756;pending=3;wifi_status=CONNECTED;wifi_code=3;rssi=-72"
"2026-07-26","04:55:18",1785059718,"NTP",23,291259933,"INFO","SYNC","THINGSPEAK_RECOVERED","","","OK","mode=BACKFILL_BULK;code=200"
"2026-07-26","04:55:18",1785059718,"NTP",23,291260027,"INFO","SYNC","BACKFILL_BATCH_SENT","","","OK","count=4;bytes=704;duration_ms=6407;heap_before=139036;heap_after=137956;remaining=0;offset=0"
"2026-07-26","04:55:18",1785059718,"NTP",23,291260111,"INFO","SYSTEM","STATE_CHANGE","BACKFILL","ONLINE","OK","pending_sd=0;pending_ram=0;wifi=connected;ts_code=200;cause=THINGSPEAK_BULK_CODE_-1"
"2026-07-26","04:55:18",1785059718,"NTP",23,291260167,"INFO","SYNC","BACKFILL_COMPLETED","BACKFILL","ONLINE","OK","pending_sd=0;pending_ram=0;wifi=connected;ts_code=200;cause=THINGSPEAK_BULK_CODE_-1"
"2026-07-26","05:00:21",1785060021,"NTP",23,291563089,"WARNING","SYNC","THINGSPEAK_UNAVAILABLE","","","FAIL","mode=ONLINE;code=-301"
"2026-07-26","05:00:22",1785060022,"NTP",23,291563239,"WARNING","SYNC","BACKFILL_TRIGGER","ONLINE","BACKFILL","DEGRADED","cause=THINGSPEAK_FAILURE;code=-301;wifi_status=CONNECTED;wifi_code=3;rssi=-71;pending=1"
"2026-07-26","05:00:22",1785060022,"NTP",23,291563296,"INFO","SYSTEM","STATE_CHANGE","ONLINE","BACKFILL","OK","pending_sd=1;pending_ram=0;wifi=connected;ts_code=-301;cause=THINGSPEAK_ONLINE_CODE_-301"
"2026-07-26","05:00:22",1785060022,"NTP",23,291563350,"INFO","SYNC","BACKFILL_STARTED","ONLINE","BACKFILL","OK","pending_sd=1;pending_ram=0;wifi=connected;ts_code=-301;cause=THINGSPEAK_ONLINE_CODE_-301"
"2026-07-26","05:00:59",1785060059,"NTP",23,291600517,"INFO","SYSTEM","HEALTH_SNAPSHOT","","","OK","firmware=12.3-SYNC-RC1;heap=142308;sd_ok=1;sd_free=3996168317;wifi=1;rssi=-71;state=BACKFILL;pending_sd=2;pending_ram=0;backfill_dropped=0;backfill_cause=THINGSPEAK_ONLINE_CODE_-301;bulk_size=30;bulk_duration_ms=6407;wifi_losses=3;ts_failures=57;log_buffer=0;log_dropped=0"
"2026-07-26","05:01:23",1785060083,"NTP",23,291624338,"INFO","SYNC","THINGSPEAK_RECOVERED","","","OK","mode=BACKFILL_BULK;code=200"
"2026-07-26","05:01:23",1785060083,"NTP",23,291624498,"INFO","SYNC","BACKFILL_BATCH_SENT","","","OK","count=2;bytes=377;duration_ms=4238;heap_before=139224;heap_after=138832;remaining=0;offset=0"
"2026-07-26","05:01:23",1785060083,"NTP",23,291624582,"INFO","SYSTEM","STATE_CHANGE","BACKFILL","ONLINE","OK","pending_sd=0;pending_ram=0;wifi=connected;ts_code=200;cause=THINGSPEAK_ONLINE_CODE_-301"
"2026-07-26","05:01:23",1785060083,"NTP",23,291624636,"INFO","SYNC","BACKFILL_COMPLETED","BACKFILL","ONLINE","OK","pending_sd=0;pending_ram=0;wifi=connected;ts_code=200;cause=THINGSPEAK_ONLINE_CODE_-301"
"2026-07-26","05:03:30",1785060210,"NTP",23,291751308,"WARNING","SYNC","THINGSPEAK_UNAVAILABLE","","","FAIL","mode=ONLINE;code=-304"
"2026-07-26","05:03:30",1785060210,"NTP",23,291751457,"WARNING","SYNC","BACKFILL_TRIGGER","ONLINE","BACKFILL","DEGRADED","cause=THINGSPEAK_FAILURE;code=-304;wifi_status=CONNECTED;wifi_code=3;rssi=-72;pending=1"
"2026-07-26","05:03:30",1785060210,"NTP",23,291751513,"INFO","SYSTEM","STATE_CHANGE","ONLINE","BACKFILL","OK","pending_sd=1;pending_ram=0;wifi=connected;ts_code=-304;cause=THINGSPEAK_ONLINE_CODE_-304"
"2026-07-26","05:03:30",1785060210,"NTP",23,291751569,"INFO","SYNC","BACKFILL_STARTED","ONLINE","BACKFILL","OK","pending_sd=1;pending_ram=0;wifi=connected;ts_code=-304;cause=THINGSPEAK_ONLINE_CODE_-304"
"2026-07-26","05:04:30",1785060270,"NTP",23,291812134,"INFO","SYNC","THINGSPEAK_RECOVERED","","","OK","mode=BACKFILL_BULK;code=200"
"2026-07-26","05:04:31",1785060271,"NTP",23,291812228,"INFO","SYNC","BACKFILL_BATCH_SENT","","","OK","count=2;bytes=376;duration_ms=7567;heap_before=139220;heap_after=138512;remaining=0;offset=0"
"2026-07-26","05:04:31",1785060271,"NTP",23,291812313,"INFO","SYSTEM","STATE_CHANGE","BACKFILL","ONLINE","OK","pending_sd=0;pending_ram=0;wifi=connected;ts_code=200;cause=THINGSPEAK_ONLINE_CODE_-304"
"2026-07-26","05:04:31",1785060271,"NTP",23,291812367,"INFO","SYNC","BACKFILL_COMPLETED","BACKFILL","ONLINE","OK","pending_sd=0;pending_ram=0;wifi=connected;ts_code=200;cause=THINGSPEAK_ONLINE_CODE_-304"
"2026-07-26","05:05:34",1785060334,"NTP",23,291875312,"WARNING","SYNC","THINGSPEAK_UNAVAILABLE","","","FAIL","mode=ONLINE;code=-301"
