date,time,epoch,time_quality,boot_id,uptime_ms,severity,component,event,from_state,to_state,result,details
"2026-07-22","14:57:07",1784750227,"NTP",21,158400377,"INFO","SYSTEM","HEALTH_SNAPSHOT","","","OK","firmware=12.3-SYNC-RC1;heap=143296;sd_ok=1;sd_free=3996755154;wifi=0;rssi=0;state=OFFLINE;pending_sd=67;pending_ram=0;backfill_dropped=0;backfill_cause=WIFI_LINK_LOST;bulk_size=30;bulk_duration_ms=1509;wifi_losses=2;ts_failures=9;log_buffer=0;log_dropped=0"
"2026-07-22","15:57:07",1784753827,"NTP",21,162000376,"INFO","SYSTEM","HEALTH_SNAPSHOT","","","OK","firmware=12.3-SYNC-RC1;heap=143296;sd_ok=1;sd_free=3996743878;wifi=0;rssi=0;state=OFFLINE;pending_sd=127;pending_ram=0;backfill_dropped=0;backfill_cause=WIFI_LINK_LOST;bulk_size=30;bulk_duration_ms=1509;wifi_losses=2;ts_failures=9;log_buffer=0;log_dropped=0"
"2026-07-22","16:57:07",1784757427,"NTP",21,165600376,"INFO","SYSTEM","HEALTH_SNAPSHOT","","","OK","firmware=12.3-SYNC-RC1;heap=145796;sd_ok=1;sd_free=3996732608;wifi=0;rssi=0;state=OFFLINE;pending_sd=187;pending_ram=0;backfill_dropped=0;backfill_cause=WIFI_LINK_LOST;bulk_size=30;bulk_duration_ms=1509;wifi_losses=2;ts_failures=9;log_buffer=0;log_dropped=0"
"2026-07-22","17:57:07",1784761027,"NTP",21,169200376,"INFO","SYSTEM","HEALTH_SNAPSHOT","","","OK","firmware=12.3-SYNC-RC1;heap=145796;sd_ok=1;sd_free=3996721362;wifi=0;rssi=0;state=OFFLINE;pending_sd=247;pending_ram=0;backfill_dropped=0;backfill_cause=WIFI_LINK_LOST;bulk_size=30;bulk_duration_ms=1509;wifi_losses=2;ts_failures=9;log_buffer=0;log_dropped=0"
"2026-07-22","18:10:56",1784761856,"NTP",21,170029322,"INFO","WEB","SYSTEM_LOG_DOWNLOADED","","","OK","file=system_00000000_boot_000021_unsynced.csv"
"2026-07-22","18:56:38",1784764598,"NTP",21,172770812,"INFO","SYNC","BACKFILL_TRIGGER","OFFLINE","BACKFILL","OK","cause=WIFI_RECOVERED_WITH_PENDING;pending=307;rssi=-62"
"2026-07-22","18:56:38",1784764598,"NTP",21,172770852,"INFO","SYSTEM","STATE_CHANGE","OFFLINE","BACKFILL","OK","pending_sd=307;pending_ram=0;wifi=connected;ts_code=200;cause=WIFI_RECOVERED_WITH_PENDING"
"2026-07-22","18:56:38",1784764598,"NTP",21,172770901,"INFO","SYNC","BACKFILL_STARTED","OFFLINE","BACKFILL","OK","pending_sd=307;pending_ram=0;wifi=connected;ts_code=200;cause=WIFI_RECOVERED_WITH_PENDING"
"2026-07-22","18:56:40",1784764600,"NTP",21,172772371,"INFO","SYNC","BACKFILL_BATCH_SENT","","","OK","count=30;bytes=4967;duration_ms=1275;heap_before=132800;heap_after=132104;remaining=277;offset=2699"
"2026-07-22","18:57:08",1784764628,"NTP",21,172800378,"INFO","SYSTEM","HEALTH_SNAPSHOT","","","OK","firmware=12.3-SYNC-RC1;heap=142572;sd_ok=1;sd_free=3996709289;wifi=1;rssi=-59;state=BACKFILL;pending_sd=277;pending_ram=0;backfill_dropped=0;backfill_cause=WIFI_RECOVERED_WITH_PENDING;bulk_size=30;bulk_duration_ms=1275;wifi_losses=2;ts_failures=9;log_buffer=0;log_dropped=0"
"2026-07-22","18:57:41",1784764661,"NTP",21,172833594,"INFO","SYNC","BACKFILL_BATCH_SENT","","","OK","count=30;bytes=4975;duration_ms=1042;heap_before=132832;heap_after=131912;remaining=248;offset=5406"
"2026-07-22","18:58:42",1784764722,"NTP",21,172894954,"INFO","SYNC","BACKFILL_BATCH_SENT","","","OK","count=30;bytes=4996;duration_ms=1169;heap_before=132832;heap_after=132100;remaining=219;offset=8134"
"2026-07-22","18:59:43",1784764783,"NTP",21,172956175,"INFO","SYNC","BACKFILL_BATCH_SENT","","","OK","count=30;bytes=4996;duration_ms=1035;heap_before=132832;heap_after=132128;remaining=190;offset=10862"
"2026-07-22","19:00:45",1784764845,"NTP",21,173017402,"INFO","SYNC","BACKFILL_BATCH_SENT","","","OK","count=30;bytes=4997;duration_ms=1046;heap_before=132832;heap_after=131912;remaining=161;offset=13591"
"2026-07-22","19:01:46",1784764906,"NTP",21,173078541,"INFO","SYNC","BACKFILL_BATCH_SENT","","","OK","count=30;bytes=4995;duration_ms=954;heap_before=135344;heap_after=134436;remaining=132;offset=16318"
"2026-07-22","19:02:47",1784764967,"NTP",21,173140123,"INFO","SYNC","BACKFILL_BATCH_SENT","","","OK","count=30;bytes=4993;duration_ms=1398;heap_before=135344;heap_after=134436;remaining=103;offset=19043"
"2026-07-22","19:03:49",1784765029,"NTP",21,173202119,"INFO","SYNC","BACKFILL_BATCH_SENT","","","OK","count=30;bytes=4985;duration_ms=1815;heap_before=135344;heap_after=131704;remaining=74;offset=21760"
"2026-07-22","19:04:51",1784765091,"NTP",21,173263474,"INFO","SYNC","BACKFILL_BATCH_SENT","","","OK","count=30;bytes=4975;duration_ms=1168;heap_before=135344;heap_after=134436;remaining=45;offset=24467"
"2026-07-22","19:05:52",1784765152,"NTP",21,173324708,"INFO","SYNC","BACKFILL_BATCH_SENT","","","OK","count=30;bytes=4942;duration_ms=1049;heap_before=135344;heap_after=134436;remaining=16;offset=27141"
"2026-07-22","19:06:53",1784765213,"NTP",21,173386026,"INFO","SYNC","BACKFILL_BATCH_SENT","","","OK","count=17;bytes=2837;duration_ms=1193;heap_before=138416;heap_after=137712;remaining=0;offset=0"
"2026-07-22","19:06:53",1784765213,"NTP",21,173386103,"INFO","SYSTEM","STATE_CHANGE","BACKFILL","ONLINE","OK","pending_sd=0;pending_ram=0;wifi=connected;ts_code=200;cause=WIFI_RECOVERED_WITH_PENDING"
"2026-07-22","19:06:53",1784765213,"NTP",21,173386153,"INFO","SYNC","BACKFILL_COMPLETED","BACKFILL","ONLINE","OK","pending_sd=0;pending_ram=0;wifi=connected;ts_code=200;cause=WIFI_RECOVERED_WITH_PENDING"
"2026-07-22","19:21:00",1784766060,"NTP",21,174232865,"WARNING","SYNC","THINGSPEAK_UNAVAILABLE","","","FAIL","mode=ONLINE;code=-304"
"2026-07-22","19:21:00",1784766060,"NTP",21,174233006,"WARNING","SYNC","BACKFILL_TRIGGER","ONLINE","BACKFILL","DEGRADED","cause=THINGSPEAK_FAILURE;code=-304;wifi_status=CONNECTED;wifi_code=3;rssi=-63;pending=1"
"2026-07-22","19:21:00",1784766060,"NTP",21,174233059,"INFO","SYSTEM","STATE_CHANGE","ONLINE","BACKFILL","OK","pending_sd=1;pending_ram=0;wifi=connected;ts_code=-304;cause=THINGSPEAK_ONLINE_CODE_-304"
"2026-07-22","19:21:00",1784766060,"NTP",21,174233110,"INFO","SYNC","BACKFILL_STARTED","ONLINE","BACKFILL","OK","pending_sd=1;pending_ram=0;wifi=connected;ts_code=-304;cause=THINGSPEAK_ONLINE_CODE_-304"
"2026-07-22","19:21:57",1784766117,"NTP",21,174289937,"INFO","SYNC","THINGSPEAK_RECOVERED","","","OK","mode=BACKFILL_BULK;code=200"
"2026-07-22","19:21:57",1784766117,"NTP",21,174290022,"INFO","SYNC","BACKFILL_BATCH_SENT","","","OK","count=2;bytes=377;duration_ms=3839;heap_before=141480;heap_after=140616;remaining=0;offset=0"
"2026-07-22","19:21:57",1784766117,"NTP",21,174290100,"INFO","SYSTEM","STATE_CHANGE","BACKFILL","ONLINE","OK","pending_sd=0;pending_ram=0;wifi=connected;ts_code=200;cause=THINGSPEAK_ONLINE_CODE_-304"
"2026-07-22","19:21:57",1784766117,"NTP",21,174290151,"INFO","SYNC","BACKFILL_COMPLETED","BACKFILL","ONLINE","OK","pending_sd=0;pending_ram=0;wifi=connected;ts_code=200;cause=THINGSPEAK_ONLINE_CODE_-304"
